LOC_NUM,STATE_ABBR,CITY_NAME,SURFACE_WATER_SOURCE,STATION
2016,NM,CARLSBAD,NA,CARLSBAD
2103,VA,RICHMOND,NA,RICHMOND
2196,NM,ESPANOLA,NA,ESPANOLA
2268,MN,S. ST. PAUL,NA,S. ST. PAUL
2414,KS,KANSAS CITY,NA,KANSAS CITY
2511,WY,CASPER,NA,CASPER
2651,WY,RIVERTON,NA,RIVERTON
2727,AK,JUNEAU,NA,JUNEAU
2728,NJ,CAMDEN,NA,CAMDEN
2729,NC,GREENSBORO,NA,GREENSBORO
2730,NY,UTICA,NA,UTICA
2731,MI,E. LANSING,NA,E. LANSING
2738,LA,BATON ROUGE,NA,BATON ROUGE
2741,KS,DODGE CITY,NA,DODGE CITY
2746,TX,LA PORTE,NA,LA PORTE
2747,NJ,EDISON,NA,EDISON
2748,TN,OAK RIDGE,Clinch River,OAK RIDGE
2781,PA,TMI,NA,TMI
2782,PA,THREE MILE ISLAND,NA,THREE MILE ISLAND
2805,PA,GOLDSBORO,NA,GOLDSBORO
2807,PA,MIDDLETOWN,NA,MIDDLETOWN
2817,AZ,TEMPE,NA,TEMPE
2821,PA,LANCASTER,NA,LANCASTER
2826,PA,PLYMOUTH,NA,PLYMOUTH
2850,NY,CHELSEA,Hudson River,CHELSEA
2906,IL,BUHL,NA,BUHL
2953,NY,NEW YORK,NA,NEW YORK
2963,CA,FRESNO,NA,FRESNO
3018,MD,MARYLAND,NA,MARYLAND
3033,NE,KEARNEY,NA,KEARNEY
3043,AK,DUTCH HARBOR,NA,DUTCH HARBOR
3063,HI,HILO,NA,HILO
3067,OH,ROSS,NA,ROSS
3075,OK,TULSA,NA,TULSA
3090,PC,COROZAL,NA,COROZAL
3091,KS,LE ROY,Neosho River,LE ROY
3117,MO,SPRINGFIELD,NA,SPRINGFIELD
3122,ME,ORONO,NA,ORONO
3127,CA,SAN DIEGO,NA,SAN DIEGO
3129,TN,CLINCH R.,NA,CLINCH R.
3145,MI,BAY CITY,NA,BAY CITY 48708
3193,MA,JAMAICA PLAINS,NA,JAMAICA PLAINS
3229,TN,BULL RUN,NA,BULL RUN
3458,AL,CHATTAHOOCHEE,NA,CHATTAHOOCHEE
3790,VA,NEW PORT,NA,NEW PORT
3811,TX,CORPUS CHRISTI,NA,CORPUS CHRISTI
3819,MN,WELCH,Mississippi River,WELCH
3822,TX,SAN ANTONIO,NA,SAN ANTONIO
3834,TN,OAK RIDGE,NA,OAK RIDGE/BETHEL
3838,TN,OAK RIDGE,NA,OAK RIDGE/MELTON
3839,TN,OAK RIDGE,NA,OAK RIDGE/K25
3843,NY,LOCKPORT,NA,LOCKPORT
3844,TN,OAK RIDGE,NA,OAK RIDGE/Y12 E
3847,MN,DULUTH,NA,DULUTH
3874,TN,OAK RIDGE,NA,OAK RIDGE/Y12 W
3890,TX,HOUSTON,NA,HOUSTON
3929,MN,WELCH,NA,WELCH/510
3930,MN,WELCH,NA,WELCH/511
3934,PC,BALBOA,NA,BALBOA
3938,VA,ASHLAND,NA,ASHLAND
3973,NY,ROCHESTER,NA,ROCHESTER
3978,PA,PHILADELPHIA,Delaware River,PHILADELPHIA/BAXTER
3979,PA,PHILADELPHIA,Schuylkill R.,PHILADELPHIA/BELMONT
