PROJ_NUM,STUDY_NUM,PROJ_ID,PROJ_NAME
859,3,TR 1992-3,TR 1992-3
865,2,RAN 1992-4,RAN 1992-4
866,1,PMN 1992-4,PMN 1992-4
869,4,DW 1992-4,DW 1992-4
870,5,SW 1992-4,SW 1992-4
873,1,PMNC 1992-4,PMNC 1992-4
876,3,TR 1992-4,TR 1992-4
877,2,PUUA 1992-2,PUUA 1992-2
880,4,DWCP 1992,DWCP 1992
881,4,DW 1993-1,DW 1993-1
882,5,SW 1993-1,SW 1993-1
883,1,PMN 1993-1,PMN 1993-1
884,2,RAN 1993-1,RAN 1993-1
889,3,TR 1993-1,TR 1993-1
890,2,PUUA 1992-4,PUUA 1992-4
892,2,RAN 1993-2,RAN 1993-2
893,4,DW 1993-2,DW 1993-2
894,5,SW 1993-2,SW 1993-2
895,1,PMN 1993-2,PMN 1993-2
897,1,PMNC 1993-1,PMNC 1993-1
898,3,TR 1993-2,TR 1993-2
906,2,RAN 1993-3,RAN 1993-3
907,1,PMN 1993-3,PMN 1993-3
908,5,SW 1993-3,SW 1993-3
909,4,DW 1993-3,DW 1993-3
910,1,PMNC 1993-2,PMNC 1993-2
914,3,TRCP 1993,TRCP 1993
916,3,TR 1993-3,TR 1993-3
920,2,PUUA 1993-2,PUUA 1993-2
928,4,DW 1993-4,DW 1993-4
929,2,RAN 1993-4,RAN 1993-4
930,1,PMN 1993-4,PMN 1993-4
931,5,SW 1993-4,SW 1993-4
936,3,TR 1993-4,TR 1993-4
939,1,PMNC 1993-4,PMNC 1993-4
943,4,DWCP 1993,DWCP 1993
945,4,DW 1994-1,DW 1994-1
946,2,RAN 1994-1,RAN 1994-1
947,1,PMN 1994-1,PMN 1994-1
948,5,SW 1994-1,SW 1994-1
954,3,TR 1994-1,TR 1994-1
957,2,PUUA 1993-4,PUUA 1993-4
962,4,DW 1994-2,DW 1994-2
963,5,SW 1994-2,SW 1994-2
964,2,RAN 1994-2,RAN 1994-2
966,1,PMN 1994-2,PMN 1994-2
969,3,TR 1994-2,TR 1994-2
971,1,PMNC 1994-1,PMNC 1994-1
972,1,PMNC 1994-2,PMNC 1994-2
974,3,TRCP 1994,1994 Precipitation Composites
976,4,DW 1994-3,DW 1994-3
977,1,PMN 1994-3,PMN 1994-3
978,2,RAN 1994-3,RAN 1994-3
979,5,SW 1994-3,SW 1994-3
981,3,TR 1994-3,TR 1994-3
985,2,RAN 1994-4,RAN 1994-4
986,1,PMN 1994-4,PMN 1994-4
987,4,DW 1994-4,DW 1994-4
988,5,SW 1994-4,SW 1994-4
989,3,TR 1994-4,TR 1994-4
993,1,PMNC 1994-4,PMNC 1994-4
994,4,DWCP 1994,DWCP 1994
995,2,PUUA 1994-2,PUUA 1994-2
996,2,PUUA 1994-4,PUUA 1994-4
997,2,RAN 1995-1,RAN 1995-1
998,1,PMN 1995-1,PMN 1995-1
999,5,SW 1995-1,SW 1995-1
1000,4,DW 1995-1,DW 1995-1
1001,3,TR 1995-1,TR 1995-1
1005,2,RAN 1995-2,RAN 1995-2
1006,1,PMN 1995-2,PMN 1995-2
1007,4,DW 1995-2,DW 1995-2
1008,5,SW 1995-2,SW 1995-2
1009,3,TR 1995-2,TR 1995-2
1013,3,TRCP 1995,1995 Precipitation Composites
1014,2,RAN 1995-3,RAN 1995-3
1015,1,PMN 1995-3,PMN 1995-3
1016,4,DW 1995-3,DW 1995-3
1017,5,SW 1995-3,SW 1995-3
1018,1,PMNC 1995-1,PMNC 1995-1
1019,3,TR 1995-3,TR 1995-3
1020,1,PMNC 1995-2,PMNC 1995-2
1024,2,RAN 1995-4,RAN 1995-4
1026,1,PMN 1995-4,PMN 1995 - 4th quarter
1027,4,DW 1995-4,DW 1995-4
1028,5,SW 1995-4,SW 1995-4
1033,2,PUUA 1995-2,PUUA 1995-2
1034,3,TR 1995-4,TR 1995-4
1035,4,DWCP 1995,1995 drinking water composites
1036,1,PMN 1996-1,PMN 1996-1
